ablation,seed,best_dice,best_iou,best_epoch,n_epochs,run_dir
B1,42,0.704298,0.614020,39,40,/kaggle/working/runs_multiseed/b1_edgeunet_seed42
B1,1337,0.751559,0.660710,39,40,/kaggle/working/runs_multiseed/b1_edgeunet_seed1337
B1,20260530,0.751371,0.665926,34,40,/kaggle/working/runs_multiseed/b1_edgeunet_seed20260530
B2,42,0.734469,0.639841,33,40,/kaggle/working/runs_multiseed/b2_hanet_seed42
B2,1337,0.768193,0.678464,37,40,/kaggle/working/runs_multiseed/b2_hanet_seed1337
B2,20260530,0.793139,0.707913,31,40,/kaggle/working/runs_multiseed/b2_hanet_seed20260530
A1,42,0.727275,0.628217,38,40,/kaggle/working/runs_multiseed/a1_direct_seed42
A1,1337,0.735904,0.642941,37,40,/kaggle/working/runs_multiseed/a1_direct_seed1337
A1,20260530,0.742671,0.659064,38,40,/kaggle/working/runs_multiseed/a1_direct_seed20260530
A2,42,0.724635,0.628500,37,40,/kaggle/working/runs_multiseed/a2_seed42
A2,1337,0.774847,0.678634,37,40,/kaggle/working/runs_multiseed/a2_seed1337
A2,20260530,0.774096,0.680087,28,40,/kaggle/working/runs_multiseed/a2_seed20260530
A3h1,42,0.690615,0.598998,31,40,/kaggle/working/runs_multiseed/a3_hop1_seed42
A3h1,1337,0.744643,0.647219,18,40,/kaggle/working/runs_multiseed/a3_hop1_seed1337
A3h1,20260530,0.759984,0.675417,25,40,/kaggle/working/runs_multiseed/a3_hop1_seed20260530
A3,42,0.721543,0.625062,39,40,/kaggle/working/runs_multiseed/a3_hop2_seed42
A3,1337,0.764780,0.672979,39,40,/kaggle/working/runs_multiseed/a3_hop2_seed1337
A3,20260530,0.774426,0.689000,40,40,/kaggle/working/runs_multiseed/a3_hop2_seed20260530
